Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2300
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2300
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2300
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2400
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,T,F,2400
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Lingya,OfficeCommercialBuilding,F,A,F,F,F,F,T,F,F,2500
Gangshan,Townhouse,F,A,T,F,T,T,F,T,F,3000
Fengshan,Apartment,F,A,T,T,T,T,F,T,F,3500
Qianjin,ResidentialBuilding,T,B,T,T,T,T,T,T,F,3500
Fengshan,Apartment,F,A,T,T,T,T,F,T,F,3800
Luzhu,Suite,F,A,T,F,T,T,F,T,F,4000
Qianzhen,Other,F,A,T,F,F,T,F,T,F,4000
Qianzhen,Other,F,A,T,F,F,T,F,T,F,4000
Qianjin,Huaxia,T,A,F,F,F,F,T,T,F,4000
Nanzi,Suite,F,A,T,T,T,T,F,T,F,4000
Nanzi,Suite,F,A,T,F,T,T,F,T,F,4000
Nanzi,Suite,F,A,T,F,T,T,F,T,F,4000
Qianzhen,Townhouse,F,A,T,T,T,T,F,T,F,4000
Lingya,Apartment,F,B,F,F,F,F,F,F,F,4000
Qianzhen,Townhouse,F,A,T,T,T,T,F,T,F,4200
Lingya,Huaxia,T,A,T,F,T,T,T,T,F,4300
Sanmin,Townhouse,F,A,T,F,T,T,F,T,F,4500
Sanmin,Townhouse,F,A,T,F,T,T,F,T,F,4500
